Date,provincename,Construction,Transportation,Agriculture,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
2008-05-01,British Columbia,1.171125722,2.824851841,12.30019122,1779,Burns Lake,12.4,0.245617299,0,-6.8,2.8,15.2,0,-125.96,54.38
2008-06-01,British Columbia,1.193282198,2.946783796,11.38928616,1779,Burns Lake,23.9,0.312050866,0,0,12,6,0,-125.96,54.38
2008-07-01,British Columbia,1.153150157,2.789090044,11.98352234,1779,Burns Lake,32,0.261401515,0,5.7,18.9,0,0.9,-125.96,54.38
2008-08-01,British Columbia,1.177793842,3.034369546,12.73230914,1779,Burns Lake,19.9,0.20625,0,-1.2,9.4,8.6,0,-125.96,54.38
2008-09-01,British Columbia,1.179515008,2.907059548,11.42975944,1779,Burns Lake,16.7,0.436363636,0,-1.8,7.5,10.5,0,-125.96,54.38
2008-10-01,British Columbia,1.173464453,2.743295388,11.77178271,1779,Burns Lake,22.8,0.527272727,0.4,-0.5,11.2,6.8,0,-125.96,54.38
2008-11-01,British Columbia,1.167263932,2.588669359,11.27928934,1779,Burns Lake,5,0.754545455,1.3,1.4,3.2,14.8,0,-125.96,54.38
2008-12-01,British Columbia,1.082097805,2.478207278,11.71596995,1779,Burns Lake,6,0.754545455,0,-13.4,-3.7,21.7,0,-125.96,54.38
2009-01-01,British Columbia,1.06916439,2.658578998,10.57000459,1779,Burns Lake,-13.1,0.754545455,0,-25.4,-19.3,37.3,0,-125.96,54.38
2009-02-01,British Columbia,1.058819264,2.810679661,11.89554462,1779,Burns Lake,-1.7,0.754545455,3.1,-13.2,-7.5,25.5,0,-125.96,54.38
2009-03-01,British Columbia,1.016855613,2.728937914,10.85189283,1779,Burns Lake,0.6,0.754545455,1,-10.4,-4.9,22.9,0,-125.96,54.38
2009-04-01,British Columbia,1.102781279,2.777427002,10.88917757,1779,Burns Lake,-0.4,0.718181818,2.5,-8.9,-4.7,22.7,0,-125.96,54.38
2009-05-01,British Columbia,1.085819708,2.686285093,10.58717676,1779,Burns Lake,19.4,0.8,0,-6.1,6.7,11.3,0,-125.96,54.38
2009-06-01,British Columbia,1.087876692,2.785604699,11.32046769,1779,Burns Lake,20.2,0.936363636,0,-0.8,9.7,8.3,0,-125.96,54.38
2009-07-01,British Columbia,1.016210732,3.017058258,11.30174386,1779,Burns Lake,18.9,0.936363636,0,-0.5,9.2,8.8,0,-125.96,54.38
2009-08-01,British Columbia,1.113065075,2.743535482,11.85493232,1779,Burns Lake,31.5,0.745454545,0,8,19.8,0,1.8,-125.96,54.38
2009-09-01,British Columbia,1.124483523,2.898123019,11.51273792,1779,Burns Lake,27.2,0.818181818,0,0,13.6,4.4,0,-125.96,54.38
2009-10-01,British Columbia,1.110252291,2.712214334,11.82545365,1779,Burns Lake,8.4,0.635885167,2.2,-1.3,3.6,14.4,0,-125.96,54.38
2009-11-01,British Columbia,1.097705238,2.838410578,11.61470561,1779,Burns Lake,2.6,0.635885167,1.5,-9.3,-3.4,21.4,0,-125.96,54.38
2009-12-01,British Columbia,1.115167638,2.777566729,10.96271731,1779,Burns Lake,-9.7,0.726794258,0,-20,-11.9,29.9,0,-125.96,54.38
2010-01-01,British Columbia,1.126626572,2.834330389,11.788994,1779,Burns Lake,-13,0.735885167,1,-21.4,-17.2,35.2,0,-125.96,54.38
2010-02-01,British Columbia,1.172748045,2.976626609,12.65305622,1779,Burns Lake,-0.6,0.744976077,1.8,-3.7,-4.8,22.8,0,-125.96,54.38
2010-03-01,British Columbia,1.115209888,2.860204844,12.71167728,1779,Burns Lake,12.37368421,0.80861244,0.494736842,-4.157894737,4.131578947,13.96315789,0.094736842,-125.96,54.38
2010-04-01,British Columbia,1.099841577,2.858586502,13.37052264,1779,Burns Lake,20.8,0.60861244,0,-1.8,9.5,8.5,0,-125.96,54.38
2010-05-01,British Columbia,1.18009828,2.792933239,12.8620796,1779,Burns Lake,10.7,0.472248804,1,-1.7,4.5,13.5,0,-125.96,54.38
2010-06-01,British Columbia,1.155837041,2.824400847,12.94259736,1779,Burns Lake,17.5,0.563157895,0.1,0.9,9.2,8.8,0,-125.96,54.38
2010-07-01,British Columbia,1.129708791,2.765969396,12.86846448,1779,Burns Lake,17.2,0.472248804,0.1,-2.5,7.4,10.6,0,-125.96,54.38
2010-08-01,British Columbia,1.104115872,2.933052269,14.12664589,1779,Burns Lake,26.8,0.30861244,0.7,3.6,15.2,2.8,0,-125.96,54.38
2010-09-01,British Columbia,1.126447681,2.735431241,14.06569616,1779,Burns Lake,17.2,0.263636364,0,1.3,9.3,8.7,0,-125.96,54.38
2010-10-01,British Columbia,1.100014713,3.002864964,10.79179763,1779,Burns Lake,19.5,0.3,0,-2.9,8.3,9.7,0,-125.96,54.38
2010-11-01,British Columbia,1.065921108,2.829636558,12.2982542,1779,Burns Lake,-0.4,0.227272727,1,-9,-4.7,22.7,0,-125.96,54.38
2010-12-01,British Columbia,1.057838728,2.902291742,11.92825765,1779,Burns Lake,0.9,0.290909091,0,-11.8,-5.5,23.5,0,-125.96,54.38
2011-01-01,British Columbia,1.104131126,3.034333055,13.33586993,1779,Burns Lake,-8.5,0.3,0,-20.1,-14.3,32.3,0,-125.96,54.38
2011-02-01,British Columbia,1.148486171,2.994848315,12.3896052,1779,Burns Lake,-5.6,0.445454545,0,-13.1,-9.4,27.4,0,-125.96,54.38
2011-03-01,British Columbia,1.107693132,2.959509447,13.43027174,1779,Burns Lake,-17.5,0.445454545,0.4,-25.8,-21.7,39.7,0,-125.96,54.38
2011-04-01,British Columbia,1.111197943,2.988792354,14.08405204,1779,Burns Lake,6.7,0.627272727,0.2,-8.9,-1.1,19.1,0,-125.96,54.38
2011-05-01,British Columbia,1.100939853,2.996794962,13.21917979,1779,Burns Lake,8.5,0.536363636,0.8,-6.4,1.1,16.9,0,-125.96,54.38
2011-06-01,British Columbia,1.140751239,2.717286417,14.01133017,1779,Burns Lake,22.5,0.536363636,0.2,-0.6,11,7,0,-125.96,54.38
2011-07-01,British Columbia,1.052745425,2.81080185,14.3971985,1779,Burns Lake,11.5,0.536363636,2.3,1,6.3,11.7,0,-125.96,54.38
2011-08-01,British Columbia,1.119066116,2.703734428,14.04855656,1779,Burns Lake,18.6,0.581818182,0,1.9,10.3,7.7,0,-125.96,54.38
2011-09-01,British Columbia,1.202121328,2.889938175,15.09515399,1779,Burns Lake,15.8,0.545454545,2,3.3,9.6,8.4,0,-125.96,54.38
